11672
47   ( 4.07962, -0.434926)  ( 4.07811, -0.448511) 
47   ( 4.08256, -0.422284)  ( 4.07962, -0.434926) 
47   ( 4.07811, -0.448511)  ( 4.09585, -0.450389) 
47   ( 4.08549, -0.409641)  ( 4.08256, -0.422284) 
47   ( 4.09116, -0.399794)  ( 4.08549, -0.409641) 
47   ( 4.08256, -0.422284)  ( 4.10146, -0.427158) 
47   ( 4.09683, -0.389946)  ( 4.09116, -0.399794) 
46   ( 4.10479, -0.38361)  ( 4.09683, -0.389946) 
47   ( 4.09116, -0.399794)  ( 4.10948, -0.409457) 
46   ( 4.11275, -0.377273)  ( 4.10479, -0.38361) 
47   ( 4.12169, -0.374591)  ( 4.11275, -0.377273) 
44   ( 4.10479, -0.38361)  ( 4.1161, -0.39898) 
47   ( 4.13063, -0.371909)  ( 4.12169, -0.374591) 
47   ( 4.13923, -0.373021)  ( 4.13063, -0.371909) 
47   ( 4.12169, -0.374591)  ( 4.12704, -0.392429) 
47   ( 4.14783, -0.374133)  ( 4.13923, -0.373021) 
46   ( 4.15482, -0.37905)  ( 4.14783, -0.374133) 
47   ( 4.13923, -0.373021)  ( 4.13678, -0.391976) 
46   ( 4.16181, -0.383967)  ( 4.15482, -0.37905) 
47   ( 4.16631, -0.391892)  ( 4.16181, -0.383967) 
46   ( 4.15482, -0.37905)  ( 4.14377, -0.394761) 
47   ( 4.17081, -0.399816)  ( 4.16631, -0.391892) 
47   ( 4.17208, -0.409641)  ( 4.17081, -0.399816) 
44   ( 4.16631, -0.391892)  ( 4.15, -0.401152) 
47   ( 4.17336, -0.419466)  ( 4.17208, -0.409641) 
47   ( 4.17068, -0.430081)  ( 4.17336, -0.419466) 
47   ( 4.17208, -0.409641)  ( 4.15362, -0.412043) 
45   ( 4.168, -0.440696)  ( 4.17068, -0.430081) 
45   ( 4.16108, -0.451136)  ( 4.168, -0.440696) 
47   ( 4.17068, -0.430081)  ( 4.15137, -0.425217) 
47   ( 4.15416, -0.461577)  ( 4.16108, -0.451136) 
47   ( 4.14487, -0.471549)  ( 4.15416, -0.461577) 
47   ( 4.16108, -0.451136)  ( 4.14155, -0.444608) 
47   ( 4.13558, -0.481522)  ( 4.14487, -0.471549) 
47   ( 4.12642, -0.490932)  ( 4.13558, -0.481522) 
46   ( 4.14487, -0.471549)  ( 4.13371, -0.45804) 
47   ( 4.11725, -0.500343)  ( 4.12642, -0.490932) 
47   ( 4.11062, -0.509091)  ( 4.11725, -0.500343) 
47   ( 4.12642, -0.490932)  ( 4.11836, -0.483091) 
46   ( 4.10399, -0.51784)  ( 4.11062, -0.509091) 
46   ( 4.10075, -0.525731)  ( 4.10399, -0.51784) 
47   ( 4.11062, -0.509091)  ( 4.10131, -0.506041) 
46   ( 4.0975, -0.533623)  ( 4.10075, -0.525731) 
46   ( 4.09725, -0.540389)  ( 4.0975, -0.533623) 
46   ( 4.07805, -0.526765)  ( 4.0778, -0.533533) 
47   ( 4.10075, -0.525731)  ( 4.09342, -0.519321) 
45   ( 4.097, -0.547155)  ( 4.09725, -0.540389) 
45   ( 4.09934, -0.552523)  ( 4.097, -0.547155) 
47   ( 4.07058, -0.541931)  ( 4.06419, -0.557576) 
46   ( 4.0778, -0.533533)  ( 4.07058, -0.541931) 
46   ( 4.09725, -0.540389)  ( 4.0778, -0.533533) 
47   ( 4.10167, -0.557892)  ( 4.09934, -0.552523) 
46   ( 4.10622, -0.56156)  ( 4.10167, -0.557892) 
47   ( 4.09934, -0.552523)  ( 4.08694, -0.572393) 
46   ( 4.11076, -0.565228)  ( 4.10622, -0.56156) 
47   ( 4.11731, -0.566759)  ( 4.11076, -0.565228) 
46   ( 4.10622, -0.56156)  ( 4.10529, -0.574863) 
46   ( 4.12386, -0.56829)  ( 4.11731, -0.566759) 
46   ( 4.13225, -0.567213)  ( 4.12386, -0.56829) 
47   ( 4.11731, -0.566759)  ( 4.11468, -0.578019) 
47   ( 4.14064, -0.566136)  ( 4.13225, -0.567213) 
47   ( 4.15072, -0.562007)  ( 4.14064, -0.566136) 
47   ( 4.13225, -0.567213)  ( 4.13724, -0.575749) 
47   ( 4.16079, -0.557877)  ( 4.15072, -0.562007) 
47   ( 4.17216, -0.551399)  ( 4.16079, -0.557877) 
47   ( 4.15072, -0.562007)  ( 4.15136, -0.571769) 
47   ( 4.18353, -0.544921)  ( 4.17216, -0.551399) 
46   ( 4.1955, -0.538377)  ( 4.18353, -0.544921) 
47   ( 4.17216, -0.551399)  ( 4.17765, -0.561022) 
46   ( 4.20747, -0.531833)  ( 4.1955, -0.538377) 
47   ( 4.21932, -0.527618)  ( 4.20747, -0.531833) 
46   ( 4.1955, -0.538377)  ( 4.20542, -0.552656) 
47   ( 4.23117, -0.523404)  ( 4.21932, -0.527618) 
47   ( 4.24217, -0.523317)  ( 4.23117, -0.523404) 
45   ( 4.21932, -0.527618)  ( 4.2216, -0.54786) 
46   ( 4.25316, -0.52323)  ( 4.24217, -0.523317) 
46   ( 4.26243, -0.526812)  ( 4.25316, -0.52323) 
47   ( 4.24217, -0.523317)  ( 4.24232, -0.543303) 
46   ( 4.2717, -0.530395)  ( 4.26243, -0.526812) 
46   ( 4.27835, -0.536658)  ( 4.2717, -0.530395) 
46   ( 4.26243, -0.526812)  ( 4.2557, -0.544198) 
47   ( 4.28501, -0.542922)  ( 4.27835, -0.536658) 
47   ( 4.28816, -0.550878)  ( 4.28501, -0.542922) 
47   ( 4.27835, -0.536658)  ( 4.26551, -0.550301) 
46   ( 4.2913, -0.558834)  ( 4.28816, -0.550878) 
46   ( 4.29037, -0.567435)  ( 4.2913, -0.558834) 
46   ( 4.28816, -0.550878)  ( 4.2703, -0.557945) 
47   ( 4.28944, -0.576036)  ( 4.29037, -0.567435) 
47   ( 4.28473, -0.584065)  ( 4.28944, -0.576036) 
47   ( 4.29037, -0.567435)  ( 4.27136, -0.565369) 
47   ( 4.28002, -0.592093)  ( 4.28473, -0.584065) 
45   ( 4.272, -0.598304)  ( 4.28002, -0.592093) 
47   ( 4.28473, -0.584065)  ( 4.26865, -0.574635) 
45   ( 4.26398, -0.604515)  ( 4.272, -0.598304) 
47   ( 4.25311, -0.607666)  ( 4.26398, -0.604515) 
45   ( 4.272, -0.598304)  ( 4.26003, -0.583603) 
47   ( 4.24225, -0.610817)  ( 4.25311, -0.607666) 
47   ( 4.22932, -0.610591)  ( 4.24225, -0.610817) 
46   ( 4.25311, -0.607666)  ( 4.24784, -0.58776) 
47   ( 4.21639, -0.610365)  ( 4.22932, -0.610591) 
47   ( 4.20285, -0.608462)  ( 4.21639, -0.610365) 
47   ( 4.22932, -0.610591)  ( 4.22879, -0.591027) 
47   ( 4.18932, -0.606559)  ( 4.20285, -0.608462) 
47   ( 4.17671, -0.604945)  ( 4.18932, -0.606559) 
47   ( 4.20285, -0.608462)  ( 4.20548, -0.590997) 
47   ( 4.16411, -0.603331)  ( 4.17671, -0.604945) 
47   ( 4.15383, -0.603722)  ( 4.16411, -0.603331) 
47   ( 4.17671, -0.604945)  ( 4.18041, -0.593571) 
47   ( 4.14354, -0.604112)  ( 4.15383, -0.603722) 
47   ( 4.13595, -0.606634)  ( 4.14354, -0.604112) 
46   ( 4.15383, -0.603722)  ( 4.1522, -0.595578) 
47   ( 4.12836, -0.609155)  ( 4.13595, -0.606634) 
47   ( 4.12344, -0.613312)  ( 4.12836, -0.609155) 
47   ( 4.13595, -0.606634)  ( 4.13863, -0.596687) 
47   ( 4.11851, -0.617469)  ( 4.12344, -0.613312) 
47   ( 4.11623, -0.622764)  ( 4.11851, -0.617469) 
47   ( 4.12344, -0.613312)  ( 4.11117, -0.604956) 
46   ( 4.11395, -0.62806)  ( 4.11623, -0.622764) 
46   ( 4.11439, -0.634027)  ( 4.11395, -0.62806) 
47   ( 4.11623, -0.622764)  ( 4.09542, -0.612846) 
47   ( 4.11483, -0.639994)  ( 4.11439, -0.634027) 
46   ( 4.11825, -0.64622)  ( 4.11483, -0.639994) 
47   ( 4.11439, -0.634027)  ( 4.10166, -0.638567) 
46   ( 4.12167, -0.652446)  ( 4.11825, -0.64622) 
47   ( 4.12835, -0.658525)  ( 4.12167, -0.652446) 
46   ( 4.11825, -0.64622)  ( 4.10766, -0.652036) 
47   ( 4.13504, -0.664605)  ( 4.12835, -0.658525) 
47   ( 4.14517, -0.670187)  ( 4.13504, -0.664605) 
47   ( 4.12835, -0.658525)  ( 4.12298, -0.665269) 
46   ( 4.1553, -0.675769)  ( 4.14517, -0.670187) 
46   ( 4.16756, -0.681196)  ( 4.1553, -0.675769) 
47   ( 4.14517, -0.670187)  ( 4.14008, -0.682805) 
47   ( 4.17982, -0.686622)  ( 4.16756, -0.681196) 
47   ( 4.19186, -0.692713)  ( 4.17982, -0.686622) 
47   ( 4.16756, -0.681196)  ( 4.16223, -0.693236) 
47   ( 4.20391, -0.698804)  ( 4.19186, -0.692713) 
45   ( 4.2134, -0.70638)  ( 4.20391, -0.698804) 
47   ( 4.19186, -0.692713)  ( 4.18457, -0.708479) 
45   ( 4.22288, -0.713957)  ( 4.2134, -0.70638) 
47   ( 4.22834, -0.723124)  ( 4.22288, -0.713957) 
44   ( 4.2134, -0.70638)  ( 4.2016, -0.725164) 
47   ( 4.23381, -0.732292)  ( 4.22834, -0.723124) 
47   ( 4.23536, -0.741881)  ( 4.23381, -0.732292) 
47   ( 4.22834, -0.723124)  ( 4.21028, -0.732015) 
46   ( 4.23691, -0.75147)  ( 4.23536, -0.741881) 
46   ( 4.23483, -0.760178)  ( 4.23691, -0.75147) 
47   ( 4.23536, -0.741881)  ( 4.21704, -0.744847) 
47   ( 4.23275, -0.768887)  ( 4.23483, -0.760178) 
47   ( 4.22732, -0.775423)  ( 4.23275, -0.768887) 
47   ( 4.23483, -0.760178)  ( 4.21647, -0.755792) 
47   ( 4.22189, -0.781958)  ( 4.22732, -0.775423) 
46   ( 4.2138, -0.785404)  ( 4.22189, -0.781958) 
47   ( 4.22732, -0.775423)  ( 4.21252, -0.763126) 
45   ( 4.20571, -0.78885)  ( 4.2138, -0.785404) 
45   ( 4.1962, -0.788812)  ( 4.20571, -0.78885) 
46   ( 4.2138, -0.785404)  ( 4.20635, -0.767917) 
46   ( 4.18668, -0.788774)  ( 4.1962, -0.788812) 
47   ( 4.17703, -0.784896)  ( 4.18668, -0.788774) 
46   ( 4.1962, -0.788812)  ( 4.19627, -0.770248) 
47   ( 4.16738, -0.781018)  ( 4.17703, -0.784896) 
47   ( 4.15884, -0.772992)  ( 4.16738, -0.781018) 
47   ( 4.17703, -0.784896)  ( 4.18151, -0.764763) 
46   ( 4.1503, -0.764966)  ( 4.15884, -0.772992) 
46   ( 4.14321, -0.753753)  ( 4.1503, -0.764966) 
47   ( 4.15884, -0.772992)  ( 4.17615, -0.759814) 
47   ( 4.13612, -0.742541)  ( 4.14321, -0.753753) 
47   ( 4.12985, -0.730479)  ( 4.13612, -0.742541) 
47   ( 4.14321, -0.753753)  ( 4.15857, -0.744044) 
47   ( 4.12358, -0.718418)  ( 4.12985, -0.730479) 
47   ( 4.11745, -0.707912)  ( 4.12358, -0.718418) 
47   ( 4.12985, -0.730479)  ( 4.14061, -0.721762) 
47   ( 4.11132, -0.697407)  ( 4.11745, -0.707912) 
47   ( 4.10488, -0.690245)  ( 4.11132, -0.697407) 
47   ( 4.11745, -0.707912)  ( 4.12795, -0.701796) 
47   ( 4.09845, -0.683083)  ( 4.10488, -0.690245) 
47   ( 4.09197, -0.679271)  ( 4.09845, -0.683083) 
47   ( 4.10488, -0.690245)  ( 4.11049, -0.685204) 
46   ( 4.0855, -0.675459)  ( 4.09197, -0.679271) 
46   ( 4.07937, -0.674685)  ( 4.0855, -0.675459) 
46   ( 4.09197, -0.679271)  ( 4.09605, -0.66785) 
47   ( 4.07324, -0.673911)  ( 4.07937, -0.674685) 
47   ( 4.06785, -0.675869)  ( 4.07324, -0.673911) 
47   ( 4.07937, -0.674685)  ( 4.08031, -0.660262) 
47   ( 4.06245, -0.677827)  ( 4.06785, -0.675869) 
46   ( 4.05824, -0.68236)  ( 4.06245, -0.677827) 
46   ( 4.06785, -0.675869)  ( 4.05549, -0.65659) 
46   ( 4.05403, -0.686893)  ( 4.05824, -0.68236) 
47   ( 4.05148, -0.693989)  ( 4.05403, -0.686893) 
45   ( 4.05824, -0.68236)  ( 4.0484, -0.671716) 
47   ( 4.04894, -0.701085)  ( 4.05148, -0.693989) 
47   ( 4.04857, -0.710739)  ( 4.04894, -0.701085) 
47   ( 4.05148, -0.693989)  ( 4.04112, -0.687697) 
46   ( 4.0482, -0.720394)  ( 4.04857, -0.710739) 
46   ( 4.05019, -0.732425)  ( 4.0482, -0.720394) 
46   ( 4.04857, -0.710739)  ( 4.04105, -0.71045) 
47   ( 4.05217, -0.744457)  ( 4.05019, -0.732425) 
47   ( 4.05502, -0.757751)  ( 4.05217, -0.744457) 
47   ( 4.05019, -0.732425)  ( 4.03831, -0.734401) 
47   ( 4.05787, -0.771045)  ( 4.05502, -0.757751) 
47   ( 4.05954, -0.784173)  ( 4.05787, -0.771045) 
47   ( 4.05502, -0.757751)  ( 4.04113, -0.757701) 
46   ( 4.0612, -0.797301)  ( 4.05954, -0.784173) 
45   ( 4.05972, -0.80886)  ( 4.0612, -0.797301) 
47   ( 4.05954, -0.784173)  ( 4.04139, -0.786476) 
46   ( 4.05824, -0.820419)  ( 4.05972, -0.80886) 
46   ( 4.0533, -0.829466)  ( 4.05824, -0.820419) 
46   ( 4.05972, -0.80886)  ( 4.03797, -0.809602) 
46   ( 4.04835, -0.838513)  ( 4.0533, -0.829466) 
47   ( 4.04108, -0.844516)  ( 4.04835, -0.838513) 
46   ( 4.0533, -0.829466)  ( 4.03696, -0.816807) 
47   ( 4.03381, -0.850518)  ( 4.04108, -0.844516) 
47   ( 4.02541, -0.852959)  ( 4.03381, -0.850518) 
47   ( 4.04108, -0.844516)  ( 4.02924, -0.830169) 
45   ( 4.01701, -0.8554)  ( 4.02541, -0.852959) 
